LOINC #,Short Name,Long Common Name,CLASS,Rank
1977-8,Bilirub Ur Ql,Bilirubin [Presence] in Urine,Chem,621
44877-9,IDDM Patient Ql,Insulin dependent diabetes mellitus [Presence],MISC,622
23641-4,Quinupristin+Dalfoprist Islt MIC,Quinupristin+Dalfopristin [Susceptibility] by Minimum inhibitory concentration (MIC),ABXBACT,623
14563-1,Hemocult sp1 Stl Ql,Hemoglobin.gastrointestinal [Presence] in Stool --1st specimen,Chem,625
20447-9,HIV1 RNA # SerPl PCR,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method,MICRO,626
5244-9,MeV IgG Ser EIA-aCnc,Measles virus IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,627
15064-9,u Estriol SerPl-mCnc,Estriol (E3).unconjugated [Moles/volume] in Serum or Plasma,Chem,628
19550-3,Methadone Ur Ql Scn,Methadone [Presence] in Urine by Screen method,DRUG/TOX,629
49090-4,Ts 21risk-age Fetus,Trisomy 21 risk based on maternal age in Fetus,Chem,630
21026-0,Path Interp Bld-Imp,Pathologist interpretation of Blood tests,PATH,631
62292-8,Calcidiol+Calciferol SerPl-mCnc,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,Chem,632
2761-5,Phenylketones Bld Ql,Phenylketones [Presence] in Blood,Chem,633
3779-6,Methamphet Ur Ql,Methamphetamine [Presence] in Urine,DRUG/TOX,634
35663-4,Prot ?Tm Ur-mCnc,Protein [Mass/volume] in unspecified time Urine,UA,635
20506-2,Specimen drawn from Patient,Specimen drawn from,SPEC,636
19057-9,ABO+Rh Gp Bld NB,ABO & Rh group [Type] in Blood from newborn,BLDBK,637
626-2,Bacteria Throat Cult,Bacteria identified in Throat by Culture,MICRO,638
13532-7,Xanthochromia CSF Ql,Xanthochromia [Presence] of Cerebral spinal fluid,SPEC,639
34660-1,Hgb A2 MFr Bld Column Chrom,Hemoglobin A2/Hemoglobin.total in Blood by Chromatography column,HEM/BC,640
26454-9,RBC # CSF,Erythrocytes [#/volume] in Cerebral spinal fluid,HEM/BC,641
10333-3,Appearance CSF,Appearance of Cerebral spinal fluid,SPEC,642
5822-2,Yeast #/area UrnS HPF,Yeast [#/area] in Urine sediment by Microscopy high power field,UA,643
49092-0,2nd trimester 4 screen SerPl-Imp,Second trimester quad maternal screen [interpretation] in Serum or Plasma Narrative,Chem,644
6276-0,Wheat IgE Qn,Wheat IgE Ab [Units/volume] in Serum,Allergy,645
6248-9,Soybean IgE Qn,Soybean IgE Ab [Units/volume] in Serum,Allergy,646
75882-1,LA 3 screen W Reflex-Imp,Lupus anticoagulant three screening tests W Reflex [interpretation],COAG,647
6095-4,D farinae IgE Qn,American house dust mite IgE Ab [Units/volume] in Serum,Allergy,648
25160-3,Gran Casts UrnS Ql Micro,Granular casts [Presence] in Urine sediment by Light microscopy,UA,649
33804-6,RBC Casts UrnS Ql Micro,RBC casts [Presence] in Urine sediment by Light microscopy,UA,650
703-9,Baso Stipl Bld Ql Smear,Basophilic stippling [Presence] in Blood by Light microscopy,HEM/BC,651
6020-2,A alternata IgE Qn,Alternaria alternata IgE Ab [Units/volume] in Serum,Allergy,652
20496-6,Gliadin IgG Ser EIA-aCnc,Gliadin IgG Ab [Units/volume] in Serum by Immunoassay,SERO,653
29541-0,HIV1 RNA Plas PCR-Log#,HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe & target amplification method,MICRO,654
6584-7,Virus XXX Cult,Virus identified in Unspecified specimen by Culture,MICRO,655
19343-3,Amphet Ur Ql Scn,Amphetamine [Presence] in Urine by Screen method,DRUG/TOX,656
13964-2,Methylmalonate SerPl-sCnc,Methylmalonate [Moles/volume] in Serum or Plasma,Chem,657
802-9,Spherocytes Bld Ql Smear,Spherocytes [Presence] in Blood by Light microscopy,HEM/BC,658
10704-5,O+P Stl Micro,Ova+Parasites identified in Stool by Light microscopy,MICRO,659
5185-4,HBV core IgM Ser EIA-aCnc,Hepatitis B virus core IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,660
46269-7,25(OH)D2 SerPl-mCnc,25-Hydroxycalciferol [Moles/volume] in Serum or Plasma,Chem,661
7258-7,Cow Milk IgE Qn,Cow milk IgE Ab [Units/volume] in Serum,Allergy,662
19554-5,Methamphet Ur Ql Scn,Methamphetamine [Presence] in Urine by Screen method,DRUG/TOX,663
10328-3,Lymphocytes NFr CSF Manual,Lymphocytes/100 leukocytes in Cerebral spinal fluid by Manual count,HEM/BC,664
2705-2,pO2 BldV,Oxygen [Partial pressure] in Venous blood,Chem,665
43994-3,Ts 18 risk Fetus,Trisomy 18 risk in Fetus,Chem,666
14334-7,Lithium SerPl-sCnc,Lithium [Moles/volume] in Serum or Plasma,DRUG/TOX,667
41477-1,Bacterial sialidase XXX Ql,Bacterial sialidase [Presence] in Unspecified specimen,MICRO,668
33254-4,pH temp adj BldA,pH of Arterial blood adjusted to patients actual temperature,Chem,669
21612-7,Age Time Patient Reported,Age - Reported,MISC,670
14639-9,Carbamazepine SerPl-mCnc,Carbamazepine [Moles/volume] in Serum or Plasma,DRUG/TOX,671
43995-0,Ts 21 risk Fetus,Trisomy 21 risk in Fetus,Chem,672
5124-3,CMV IgG Ser EIA-aCnc,Cytomegalovirus IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,673
10366-3,Cotinine Ur-mCnc,Cotinine [Mass/volume] in Urine,DRUG/TOX,674
6096-2,D pteronyss IgE Qn,European house dust mite IgE Ab [Units/volume] in Serum,Allergy,675
26473-9,WBC Other NFr Fld,Leukocytes other/100 leukocytes in Body fluid,HEM/BC,676
24108-3,Cancer Ag19-9 SerPl-aCnc,Cancer Ag 19-9 [Units/volume] in Serum or Plasma,Chem,677
5859-4,HSV XXX Cult,Herpes simplex virus identified in Unspecified specimen by Organism specific culture,MICRO,678
5774-5,CaOx Cry UrnS Ql Micro,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,UA,679
49121-7,RBC inclusions Bld,Erythrocyte inclusion bodies [Identifier] in Blood,HEM/BC,680
13967-5,SHBG SerPl-sCnc,Sex hormone binding globulin [Moles/volume] in Serum or Plasma,Chem,681
3095-7,UUN Ur-mCnc,Urea nitrogen [Mass/volume] in Urine,Chem,682
6025-1,A fumigatus IgE Qn,Aspergillus fumigatus IgE Ab [Units/volume] in Serum,Allergy,683
21264-7,u Estriol adj MoM SerPl,Estriol (E3).unconjugated [Multiple of the median] adjusted in Serum or Plasma,Chem,684
25836-8,HIV1 RNA # XXX PCR,HIV 1 RNA [#/volume] (viral load) in Unspecified specimen by Probe & target amplification method,MICRO,685
46640-9,,Secondary diagnosis RFC,SURVEY.RFC,686
42216-2,Ref Lab Name,Reference lab name [Identifier],MISC,687
48391-7,CO2 BldV Calc-sCnc,"Carbon dioxide, total [Moles/volume] in Venous blood by calculation",Chem,688
35678-2,Sodium ?Tm Ur-sCnc,Sodium [Moles/volume] in unspecified time Urine,Chem,689
10459-6,AFP Ag Tiss Ql ImStn,Alpha-1-Fetoprotein Ag [Presence] in Tissue by Immune stain,PATH,690
5793-5,Gran Casts #/area UrnS LPF,Granular casts [#/area] in Urine sediment by Microscopy low power field,UA,691
6099-6,Dog Epith IgE Qn,Dog epithelium IgE Ab [Units/volume] in Serum,Allergy,692
34701-3,Heparin Ind Platelet Ab Ser Ql,Platelet Ab.heparin induced [Presence] in Serum,SERO,693
20495-8,Gliadin IgA Ser EIA-aCnc,Gliadin IgA Ab [Units/volume] in Serum by Immunoassay,SERO,694
1761-6,Aldolase SerPl-cCnc,Aldolase [Enzymatic activity/volume] in Serum or Plasma,Chem,695
8248-7,Sperm UrnS Ql Micro,Spermatozoa [Presence] in Urine sediment by Light microscopy,UA,696
2078-4,Chloride Ur-sCnc,Chloride [Moles/volume] in Urine,Chem,697
31374-2,EBV NA IgG Ser-aCnc,Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum,MICRO,698
30083-0,EBV NA IgG Ser EIA-aCnc,Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,699
47223-3,Ts 18 risk-Age Fetus,Trisomy 18 risk based on maternal age in Fetus,Chem,700
14633-2,C peptide SerPl-mCnc,C peptide [Moles/volume] in Serum or Plasma,Chem,701
23883-2,Inhibin A Ser-mCnc,Inhibin A [Mass/volume] in Serum,Chem,702
34468-9,C dif Tox A+B Stl Ql EIA,Clostridium difficile toxin A+B [Presence] in Stool by Immunoassay,MICRO,703
2881-1,Prot Fld-mCnc,Protein [Mass/volume] in Body fluid,Chem,704
3243-3,Thrombin time,Thrombin time,COAG,705
3243-3,TT Time PPP,Thrombin time in Platelet poor plasma by Coagulation assay,COAG,705
19270-8,Barbiturates Ur Ql Scn,Barbiturates [Presence] in Urine by Screen method,DRUG/TOX,706
15432-8,Testost Free MFr SerPl,Testosterone Free/Testosterone.total in Serum or Plasma,Chem,707
26466-3,WBC # Fld,Leukocytes [#/volume] in Body fluid,HEM/BC,708
21440-3,HPV I/H Risk DNA Cervix Ql Prb,Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA [Presence] in Cervix by DNA probe,MICRO,709
14874-2,Phenobarb SerPl-mCnc,Phenobarbital [Moles/volume] in Serum or Plasma,DRUG/TOX,710
10835-7,LPa SerPl-mCnc,Lipoprotein a [Mass/volume] in Serum or Plasma,Chem,711
22330-5,HDV Ab Ser-aCnc,Hepatitis D virus Ab [Units/volume] in Serum,MICRO,712
38526-0,# Spec Tst Stl,Number of specimens tested of Stool,SPEC,713
40752-8,EBV EA IgG Ser Ql EIA,Epstein Barr virus early IgG Ab [Presence] in Serum by Immunoassay,MICRO,714
6833-8,Cat Dander IgE Qn,Cat dander IgE Ab [Units/volume] in Serum,Allergy,715
5813-1,T vaginalis UrnS Ql Micro,Trichomonas vaginalis [Presence] in Urine sediment by Light microscopy,UA,716
6189-5,White Oak IgE Qn,White Oak IgE Ab [Units/volume] in Serum,Allergy,717
6075-6,C herbarum IgE Qn,Cladosporium herbarum IgE Ab [Units/volume] in Serum,Allergy,718
14314-9,BZE Ur Ql Scn,Benzoylecgonine [Presence] in Urine by Screen method,DRUG/TOX,719
5332-2,RUBV Ab Ser Ql LA,Rubella virus Ab [Presence] in Serum by Latex agglutination,MICRO,720
12248-1,Renal Epi Cells UrnS Ql Micro,Epithelial cells.renal [Presence] in Urine sediment by Light microscopy,UA,721
5892-5,Prot S PPP-aCnc,Protein S [Units/volume] in Platelet poor plasma by Coagulation assay,COAG,722
4552-6,Hgb A2 MFr Bld Elph,Hemoglobin A2/Hemoglobin.total in Blood by Electrophoresis,HEM/BC,723
22314-9,HAV IgM Ser Ql,Hepatitis A virus IgM Ab [Presence] in Serum,MICRO,724
46154-1,T vaginalis rRNA XXX Ql PCR,Trichomonas vaginalis rRNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,725
6357-8,C trach DNA Ur Ql PCR,Chlamydia trachomatis DNA [Presence] in Urine by Probe & target amplification method,MICRO,726
36904-1,Inhibin A adj MoM Ser,Inhibin A [Multiple of the median] adjusted in Serum,Chem,727
5862-8,FLUAV Ag XXX Ql EIA,Influenza virus A Ag [Presence] in Unspecified specimen by Immunoassay,MICRO,728
45371-2,Multiple Pregancy,Multiple pregancy,CLIN,729
2742-5,ACE SerPl-cCnc,Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma,Chem,730
32764-3,Clue Cells XXX Ql Wet Prep,Clue cells [Presence] in Unspecified specimen by Wet preparation,MICRO,731
42247-7,Hgb Fract Bld HPLC-Imp,Hemoglobin pattern [interpretation] in Blood by HPLC Narrative,HEM/BC,732
11153-4,Hct VFr Fld,Hematocrit [Volume Fraction] of Body fluid,HEM/BC,733
6875-9,Cancer Ag15-3 SerPl-aCnc,Cancer Ag 15-3 [Units/volume] in Serum or Plasma,Chem,734
32166-1,HCG adj MoM SerPl,Choriogonadotropin [Multiple of the median] adjusted in Serum or Plasma,Chem,735
6741-3,RBC # Fld Manual,Erythrocytes [#/volume] in Body fluid by Manual count,HEM/BC,736
7900-4,H pylori Ab Ser-aCnc,Helicobacter pylori Ab [Units/volume] in Serum,MICRO,737
6087-1,Corn IgE Qn,Corn IgE Ab [Units/volume] in Serum,Allergy,738
14955-9,Zinc SerPl-mCnc,Zinc [Moles/volume] in Serum or Plasma,DRUG/TOX,739
11259-9,HCV RNA SerPl Ql PCR,Hepatitis C virus RNA [Presence] in Serum or Plasma by Probe & target amplification method,MICRO,740
38180-6,HCV RNA SerPl PCR-Log IU,Hepatitis C virus RNA [log units/volume] (viral load) in Serum or Plasma by Probe & target amplification method,MICRO,741
3299-5,Acetamin Ur Ql,Acetaminophen [Presence] in Urine,DRUG/TOX,742
14731-4,Folate RBC-mCnc,Folate [Moles/volume] in Red Blood Cells,Chem,743
5370-2,ASO Ab Ser-aCnc,Streptolysin O Ab [Units/volume] in Serum,MICRO,744
6041-8,Bermuda grass IgE Qn,Bermuda grass IgE Ab [Units/volume] in Serum,Allergy,745
53962-7,AFP-TM SerPl-mCnc,Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma,Chem,746
17859-0,H pylori IgG Ser Ql EIA,Helicobacter pylori IgG Ab [Presence] in Serum by Immunoassay,MICRO,747
6212-5,P notatum IgE Qn,Penicillium notatum IgE Ab [Units/volume] in Serum,Allergy,748
22496-4,RUBV Ab Ser Ql,Rubella virus Ab [Presence] in Serum,MICRO,749
49050-8,Cyto Endocvx brush,Microscopic observation [Identifier] in Endocervical brush by Cyto stain,CYTO,750
21190-4,C trach DNA Cvx Ql PCR,Chlamydia trachomatis DNA [Presence] in Cervix by Probe and target amplification method,MICRO,751
30457-6,Nonhematic Cells NFr Fld,Nonhematic cells/100 leukocytes in Body fluid,HEM/BC,752
34985-2,Unident Cells NFr Fld,Unidentified cells/100 leukocytes in Body fluid,HEM/BC,753
7966-5,MuV IgG Ser-aCnc,Mumps virus IgG Ab [Units/volume] in Serum,MICRO,754
20512-0,Turbidity CSF Ql,Turbidity [Presence] of Cerebral spinal fluid,SPEC,755
32198-4,N gonorrhoea rRNA Cvx Ql Prb,Neisseria gonorrhoeae rRNA [Presence] in Cervix by DNA probe,MICRO,756
6085-5,Common Ragweed IgE Qn,Common Ragweed IgE Ab [Units/volume] in Serum,Allergy,757
6110-1,Engl Plantain IgE Qn,English Plantain IgE Ab [Units/volume] in Serum,Allergy,758
6303-2,Screen dRVVT,dRVVT LA screen,COAG,759
27811-9,AT III Act/Nor PPP Chro,Antithrombin actual/normal in Platelet poor plasma by Chromogenic method,COAG,760
47213-4,LDLc real size Pat SerPl,Cholesterol in LDL real size pattern [Identifier] in Serum or Plasma,Chem,761
70201-9,IDLc SerPl-mCnc,Cholesterol in IDL [Moles/volume] in Serum or Plasma,Chem,763
70202-7,IDLc+VLDL3c SerPl-mCnc,Cholesterol in IDL+Cholesterol in VLDL 3 [Moles/volume] in Serum or Plasma,Chem,764
70203-5,VLDL3c SerPl-mCnc,Cholesterol in VLDL 3 [Moles/volume] in Serum or Plasma,Chem,765
49062-3,Lipid risk factors Patient,Lipid risk factors [Finding],Chem,766
32046-5,PAPP-A SerPl-aCnc,Pregnancy associated plasma protein A [Units/volume] in Serum or Plasma,Chem,767
26760-9,Cannabinoids Ur-aCnc,Cannabinoids [Units/volume] in Urine,DRUG/TOX,768
13183-9,White Elm IgG Qn,White Elm IgG Ab [Units/volume] in Serum,Allergy,769
29967-7,ANCA IgG Titr Ser IF,Neutrophil cytoplasmic IgG Ab [Titer] in Serum by Immunofluorescence,SERO,770
1795-4,Amylase Fld-cCnc,Amylase [Enzymatic activity/volume] in Body fluid,Chem,771
1871-3,Apo B100 SerPl-mCnc,Apolipoprotein B-100 [Mass/volume] in Serum or Plasma,Chem,772
33716-2,,Non-gynecological cytology method study,ATTACH.CLINRPT,773
14586-2,Aldost SerPl-mCnc,Aldosterone [Moles/volume] in Serum or Plasma,Chem,774
34574-4,Path report.final Dx Spec,Pathology report final diagnosis,TUMRRGT,775
45353-0,Date Of Analysis XXX,Date of analysis of unspecified specimen,MISC,776
2064-4,Ceruloplasmin SerPl-mCnc,Ceruloplasmin [Mass/volume] in Serum or Plasma,Chem,777
792-2,RBC # CSF Manual,Erythrocytes [#/volume] in Cerebral spinal fluid by Manual count,HEM/BC,778
29771-3,Occult Bld Stl Ql Imm,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method,Chem,779
30170-5,Amer Roach IgE Qn,American Cockroach IgE Ab [Units/volume] in Serum,Allergy,780
14627-4,HCO3 BldV-sCnc,Bicarbonate [Moles/volume] in Venous blood,Chem,781
31204-1,HBV core IgM Ser Ql,Hepatitis B virus core IgM Ab [Presence] in Serum,MICRO,782
14626-6,B2 Microglob Ser-sCnc,Beta-2-Microglobulin [Moles/volume] in Serum,Chem,783
1952-1,B2 Microglob Ser-mCnc,Beta-2-Microglobulin [Mass/volume] in Serum,Chem,783
13514-5,Hgb Fract Bld Elph-Imp,Hemoglobin pattern [interpretation] in Blood by Electrophoresis Narrative,HEM/BC,784
24012-7,HIV1 Ag Ser Ql,HIV 1 Ag [Presence] in Serum,MICRO,785
5222-5,HIV1 Ag Ser Ql EIA,HIV 1 Ag [Presence] in Serum by Immunoassay,MICRO,786
13953-5,HBV e Ab Ser Ql EIA,Hepatitis B virus e Ab [Presence] in Serum by Immunoassay,MICRO,787
14745-4,Glucose Fld-mCnc,Glucose [Moles/volume] in Body fluid,Chem,788
15205-8,Rheumatoid fact Ser Neph-aCnc,Rheumatoid factor [Units/volume] in Serum by Nephlometry,SERO,789
29770-5,Karyotyp Bld/T,Karyotype [Identifier] in Blood or Tissue Nominal,MOLPATH,790
709-6,Blasts NFr Bld Manual,Blasts/100 leukocytes in Blood by Manual count,HEM/BC,791
20444-6,HSV1+2 DNA XXX Ql PCR,Herpes simplex virus 1+2 DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,792
19153-6,Specimen vol ?Tm Ur,Volume of unspecified time Urine,SPEC,793
3209-4,Fact VIII Act/Nor PPP,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay,COAG,794
7155-5,Boxelder IgE Qn,Boxelder IgE Ab [Units/volume] in Serum,Allergy,795
5866-9,FLUBV Ag XXX Ql EIA,Influenza virus B Ag [Presence] in Unspecified specimen by Immunoassay,MICRO,796
13590-5,aPCR PPP,Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay,COAG,797
47528-5,Cytology Cvx/Vag Doc Cyto,Cytology report of Cervical or vaginal smear or scraping Cyto stain,CYTO,798
6106-9,Egg White IgE Qn,Egg white IgE Ab [Units/volume] in Serum,Allergy,799
2006-5,Cancer Ag125 SerPl Ql,Cancer Ag 125 [Presence] in Serum or Plasma,Chem,800
655-1,Acid fast Mod Kiny Stn XXX,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain.Kinyoun modified,MICRO,801
3854-7,Nicotine Ur-mCnc,Nicotine [Mass/volume] in Urine,DRUG/TOX,802
16131-5,HSV2 DNA XXX Ql PCR,Herpes simplex virus 2 DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,803
13954-3,HBV e Ag Ser Ql EIA,Hepatitis B virus e Ag [Presence] in Serum by Immunoassay,MICRO,804
26446-5,Blasts NFr Bld,Blasts/100 leukocytes in Blood,HEM/BC,805
7792-5,Dohle Bod Bld Ql Smear,Dohle body [Presence] in Blood by Light microscopy,HEM/BC,806
2529-6,LDH Fld-cCnc,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid,Chem,807
41399-7,HSV1+2 IgM Ser EIA-aCnc,Herpes simplex virus 1+2 IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,808
22674-6,Transferrin SerPl-sCnc,Transferrin [Moles/volume] in Serum or Plasma,Chem,809
3034-6,Transferrin SerPl-mCnc,Transferrin [Mass/volume] in Serum or Plasma,Chem,809
10900-9,HBV surface Ab Ser Ql EIA,Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay,MICRO,810
3284-7,LA Nt Platelet PPP,Lupus anticoagulant neutralization platelet [Time] in Platelet poor plasma by Coagulation assay,COAG,811
3414-0,Buprenorphine Ur Ql,Buprenorphine [Presence] in Urine,DRUG/TOX,812
20404-0,Fibronectin Fetal Vag Ql,Fibronectin.fetal [Presence] in Vaginal fluid,Chem,813
10998-3,Oxycodone Ur Ql,Oxycodone [Presence] in Urine,DRUG/TOX,814
10976-9,6MAM Ur Ql,6-Monoacetylmorphine (6-MAM) [Presence] in Urine,DRUG/TOX,815
14674-6,ACTH Plas-mCnc,Corticotropin [Moles/volume] in Plasma,Chem,816
13046-8,Variant Lymphs NFr Bld,Lymphocytes Variant/100 leukocytes in Blood,HEM/BC,817
5351-2,ENA SS-A Ab Ser Ql EIA,Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immunoassay,SERO,818
6412-1,G lamblia Ag Stl Ql EIA,Giardia lamblia Ag [Presence] in Stool by Immunoassay,MICRO,819
2614-6,MetHgb MFr Bld,Methemoglobin/Hemoglobin.total in Blood,Chem,820
5353-8,ENA SS-B Ab Ser Ql EIA,Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay,SERO,821
2915-7,Renin Plas-cCnc,Renin [Enzymatic activity/volume] in Plasma,Chem,822
27416-7,ENA Scl70 Ab Ser-aCnc,SCL-70 extractable nuclear Ab [Units/volume] in Serum,SERO,823
6565-6,T vaginalis Genital Wet Prep,Trichomonas vaginalis [Identifier] in Genital specimen by Wet preparation,MICRO,824
21003-9,Fungus XXX Fungus Stn,Fungus identified in Unspecified specimen by Fungus stain,MICRO,825
5639-0,Ethanol Bld Ql,Ethanol [Presence] in Blood,DRUG/TOX,826
6182-0,M racemosus IgE Qn,Mucor racemosus IgE Ab [Units/volume] in Serum,Allergy,827
3297-9,Acetamin SerPl Ql,Acetaminophen [Presence] in Serum or Plasma,DRUG/TOX,829
5177-1,H pylori IgM Ser EIA-aCnc,Helicobacter pylori IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,830
13516-0,Neutrophils NFr CSF Manual,Neutrophils/100 leukocytes in Cerebral spinal fluid by Manual count,HEM/BC,831
4023-8,Salicylates SerPl Ql,Salicylates [Presence] in Serum or Plasma,DRUG/TOX,832
15054-0,DHEA SerPl-mCnc,Dehydroepiandrosterone (DHEA) [Moles/volume] in Serum or Plasma,Chem,833
30243-0,HGC Intact SerPl-aCnc,Choriogonadotropin.intact [Units/volume] in Serum or Plasma,Chem,834
14995-5,Glucose 2H p 75 g Glc PO SerPl-mCnc,Glucose [Moles/volume] in Serum or Plasma --2 hours post 75 g glucose PO,CHAL,835
4547-6,Hgb A1 MFr Bld,Hemoglobin A1/Hemoglobin.total in Blood,HEM/BC,836
51724-3,Cefuroxime Susc Islt,Cefuroxime [Susceptibility],ABXBACT,837
15061-5,EPO SerPl-aCnc,Erythropoietin (EPO) [Units/volume] in Serum or Plasma,Chem,838
6152-3,Johnson grass IgE Qn,Johnson grass IgE Ab [Units/volume] in Serum,Allergy,839
6252-1,S botryosum IgE Qn,Stemphylium botryosum IgE Ab [Units/volume] in Serum,Allergy,841
32286-7,HCV Gentyp SerPl PCR,Hepatitis C virus genotype [Identifier] in Serum or Plasma by Probe & target amplification method,MICRO,842
17948-1,Fungus XXX Cult org #3,Fungus # 3 identified in Unspecified specimen by Culture,MICRO,843
5199-5,HCV Ab Ser Ql IB,Hepatitis C virus Ab [Presence] in Serum by Immunoblot (IB),MICRO,844
17947-3,Fungus XXX Cult org #2,Fungus # 2 identified in Unspecified specimen by Culture,MICRO,845
17949-9,Fungus XXX Cult org #4,Fungus # 4 identified in Unspecified specimen by Culture,MICRO,846
42637-9,BNP Bld-mCnc,Natriuretic peptide B [Mass/volume] in Blood,Chem,847
9327-8,PS IgM Ser Ql IA,Phosphatidylserine IgM Ab [Presence] in Serum by Immunoassay,COAG,848
14679-5,Cortis AM SerPl-mCnc,Cortisol [Moles/volume] in Serum or Plasma --morning specimen,Chem,849
14569-8,17OHP SerPl-mCnc,17-Hydroxyprogesterone [Moles/volume] in Serum or Plasma,Chem,850
14604-3,Bld gp Ab present SerPl BPU,Blood group antibodies present [Identifier] in Serum or Plasma from Blood product unit,BLDBK,851
20513-8,Turbidity Fld Ql,Turbidity [Presence] of Body fluid,SPEC,852
48035-0,Hgb CSF Ql,Hemoglobin [Presence] in Cerebral spinal fluid,HEM/BC,853
1825-9,A1AT SerPl-mCnc,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,Chem,854
5213-4,Heteroph Ab Ser Ql LA,Heterophile Ab [Presence] in Serum by Latex agglutination,MICRO,855
13440-3,Interpretation Ur IFE-Imp,Immunofixation [interpretation] for Urine,Chem,856
6039-2,Beef IgE Qn,Beef IgE Ab [Units/volume] in Serum,Allergy,857
18929-0,Gentamicin Synergy Susc Islt,Gentamicin.high potency [Susceptibility],ABXBACT,858
2004-0,Calcium Ur-mCnc,Calcium [Moles/volume] in Urine,Chem,859
6034-3,Bahia grass IgE Qn,Bahia grass IgE Ab [Units/volume] in Serum,Allergy,860
5358-7,Smooth muscle Ab Titr Ser IF,Smooth muscle Ab [Titer] in Serum by Immunofluorescence,SERO,861
5388-4,T gondii IgG Ser EIA-aCnc,Toxoplasma gondii IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,862
27948-9,HSV1+2 IgG Ser EIA-aCnc,Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,863
9439-1,Casts #/area UrnS HPF,Casts [#/area] in Urine sediment by Microscopy high power field,UA,864
2745-8,pH BldC,pH of Capillary blood,Chem,865
33022-5,pCO2 BldC TcCo2,Carbon dioxide [Partial pressure] in Capillary blood by Transcutaneous CO2 monitor,Chem,866
13438-7,Prot Pattern Ur Elph-Imp,Protein Fractions [interpretation] in Urine by Electrophoresis,Chem,867
8117-4,CD19 Cells NFr Bld,CD19 cells/100 cells in Blood,CELLMARK,868
38527-8,# Spec Recd Stl,Number of specimens received of Stool,SPEC,869
70216-7,Salicylates SerPl Scn-mCnc,Salicylates [Moles/volume] in Serum or Plasma by Screen method,DRUG/TOX,870
22747-0,Gentamicin Trough SerPl-sCnc,Gentamicin [Moles/volume] in Serum or Plasma --trough,DRUG/TOX,871
3665-7,Gentamicin Trough SerPl-mCnc,Gentamicin [Mass/volume] in Serum or Plasma --trough,DRUG/TOX,871
14753-8,Glucose 1H p 100 g Glc PO SerPl-mCnc,Glucose [Moles/volume] in Serum or Plasma --1 hour post 100 g glucose PO,CHAL,872
13527-7,Unident Cells NFr CSF Manual,Unidentified cells/100 leukocytes in Cerebral spinal fluid by Manual count,HEM/BC,873
32765-0,Yeast XXX Ql Wet Prep,Yeast [Presence] in Unspecified specimen by Wet preparation,MICRO,874
20563-3,COHgb MFr Bld,Carboxyhemoglobin/Hemoglobin.total in Blood,Chem,875
51597-3,Glucose 1H p 75 g Glc PO SerPl-mCnc,Glucose [Moles/volume] in Serum or Plasma --1 hour post 75 g glucose PO,CHAL,876
14836-1,MTX SerPl-sCnc,Methotrexate [Moles/volume] in Serum or Plasma,DRUG/TOX,877
6924-5,Gliadin IgA Ser-aCnc,Gliadin IgA Ab [Units/volume] in Serum,SERO,878
18983-7,Streptomycin High Pot Susc Islt,Streptomycin.high potency [Susceptibility],ABXBACT,879
14765-2,Glucose 3H p Glc SerPl-mCnc,Glucose [Moles/volume] in Serum or Plasma --3 hours post dose glucose,CHAL,880
5876-8,RSV Ag XXX Ql EIA,Respiratory syncytial virus Ag [Presence] in Unspecified specimen by Immunoassay,MICRO,881
56490-6,Occult Bld sp2 Stl Ql Imm,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method --2nd specimen,Chem,882
